"BR","UF ","Tipo de trecho","Desc Coinc","Código","Local de Início","Local de Fim","km inicial","km final","Extensão","Superfície Federal","Obras","Federal Coincidente","Administração","Ato legal","Estadual Coincidente","Superfície Est. Coincidente","Jurisdição","Superfície","Unidade Local"
"101","SC","Travessia Urbana","-","101USC1010","ENTR BR-285(A)/SC-447 (ARARANGUÁ)","FIM CONTORNO DE ARARANGUÁ","2.7","6.7","4","DUP","","101USC1010","Federal","","","","Federal","PAV",""
"101","RS","Variante","-","101VRS1005","INÍCIO PISTA INVERSA / VARIANTE DA GRUTA","FIM PISTA INVERSA / VARIANTE DA GRUTA","0","2.3","2.3","PAV","","101VRS1005","Concessão Federal","","","","Federal","PAV","São Leopoldo"
"104","PB","Acesso","-","104APB1005","ENTR BR-104 (ACESSO SUL JAÇANÃ)","ENTR R. JOSÉ PEREIRA DA SILVA (JAÇANÃ-DIV RN/PB)","0","0.7","0.7","PAV","","104APB1005","Federal","","","","Federal","PAV","Campina Grande"
"104","AL","Eixo Principal","-","104BAL0570","DIV PE/AL","ENTR BR-416(A)/AL-110","0","8.9","8.9","PAV","","104BAL0570","Federal","","","","Federal","PAV","Maceió"
"104","AL","Eixo Principal","-","104BAL0580","ENTR BR-416(A)/AL-110","ENTR BR-416(B) (SÃO JOSÉ DA LAJE)","8.9","16.5","7.6","PAV","","104BAL0580","Federal","","","","Federal","PAV","Maceió"
"104","AL","Eixo Principal","-","104BAL0590","ENTR BR-416(B) (SÃO JOSÉ DA LAJE)","ENTR AL-205 (P/UNIÃO DOS PALMARES)","16.5","35.7","19.2","PAV","","104BAL0590","Federal","","","","Federal","PAV","Maceió"
"104","AL","Eixo Principal","-","104BAL0610","ENTR AL-205 (P/UNIÃO DOS PALMARES)","ACESSO BRANQUINHA","35.7","46.1","10.4","PAV","","104BAL0610","Federal","","","","Federal","PAV","Maceió"
"104","AL","Eixo Principal","-","104BAL0615","ACESSO BRANQUINHA","ACESSO MURICI","46.1","58.9","12.8","PAV","","104BAL0615","Federal","","","","Federal","PAV","Maceió"
"104","AL","Eixo Principal","-","104BAL0620","ACESSO MURICI","ENTR BR-101(A)/INÍCIO TRAVESSIA URBANA DE MESSIAS","58.9","74.4","15.5","PAV","","104BAL0620","Federal","","","","Federal","PAV","Maceió"
"104","AL","Eixo Principal","Coinc","104BAL0630","ENTR BR-101(A)/INÍCIO TRAVESSIA URBANA DE MESSIAS","ENTR. FIM TRAVESSIA URBANA DE MESSIAS","74.4","79.5","5.1","DUP","","101BAL0660;104BAL0630","Federal","","","","Federal","PAV","Maceió"
"104","AL","Eixo Principal","Coinc","104BAL0640","ENTR FIM TRAVESSIA URBANA DE MESSIAS","ENTR BR-101(B)","79.5","83.3","3.8","DUP","","101BAL0680;104BAL0640","Federal","","","","Federal","PAV","Maceió"
"104","AL","Eixo Principal","-","104BAL0650","ENTR BR-101(B)","ENTR AL-210","83.3","92.1","8.8","DUP","","104BAL0650","Federal","","","","Federal","PAV","Maceió"
"104","AL","Eixo Principal","-","104BAL0670","ENTR AL-210","ENTR AL-404 (ACESSO CEASA)","92.1","94","1.9","DUP","","104BAL0670","Federal","","","","Federal","PAV","Maceió"
"104","AL","Eixo Principal","-","104BAL0680","ENTR AL-404 (ACESSO CEASA)","ENTR BR-316 (TABULEIRO DO MARTINS)","94","98.7","4.7","DUP","","104BAL0680","Convênio Adm.Federal/Municipal","","","","Federal","PAV","Maceió"
"104","AL","Eixo Principal","-","104BAL0690","ENTR BR-316 (TABULEIRO DO MARTINS)","PRACA CENTENÁRIO (MACEIÓ)","98.7","109.6","10.9","DUP","","104BAL0690","Convênio Adm.Federal/Municipal","","","","Federal","PAV","Maceió"
"104","PB","Eixo Principal","-","104BPB0205","DIV RN/PB","ENTR ACESSO SUL JAÇANÃ","0","1.4","1.4","PLA","","104BPB0205","Federal","","","","Federal","PLA",""
"104","PB","Eixo Principal","-","104BPB0210","ENTR ACESSO SUL JAÇANÃ","ENTR BENEDITO MARINHO/FELINTO FLORENTINO (NOVA FLORESTA)","1.4","3.2","1.8","PAV","","104BPB0210","Federal","","","","Federal","PAV","Campina Grande"
"104","PB","Eixo Principal","-","104BPB0220","ENTR BENEDITO MARINHO/FELINTO FLORENTINO (NOVA FLORESTA)","ENTR R.JOSÉ SIMÃO DE ANDRADE (NOVA FLORESTA)","3.2","3.8","0.6","DUP","","104BPB0220","Federal","","","","Federal","PAV","Campina Grande"
"104","PB","Eixo Principal","-","104BPB0222","ENTR R.JOSÉ SIMÃO DE ANDRADE (NOVA FLORESTA)","ACESSO SUL NOVA FLORESTA/ACESSO NORTE CUITÉ","3.8","5.2","1.4","PAV","","104BPB0222","Federal","","","","Federal","PAV","Campina Grande"
"104","PB","Eixo Principal","-","104BPB0223","ACESSO SUL NOVAFLORESTA/ACESSO NORTE CUITÉ","CUITÉ (RUA 25 DE JANEIRO)","5.2","8.9","3.7","PAV","","104BPB0223","Federal","","","","Federal","PAV","Campina Grande"
"104","PB","Eixo Principal","-","104BPB0225","CUITÉ (RUA 25 DE JANEIRO)","ENTR ESTRADA DO CAMPO COMPRIDO","8.9","15.8","6.9","PAV","","104BPB0225","Federal","","","","Federal","PAV","Campina Grande"
"104","PB","Eixo Principal","-","104BPB0227","ENTR ESTRADA DO CAMPO COMPRIDO","ENTR PB-137 (JACÚ)","15.8","30.4","14.6","PAV","","104BPB0227","Federal","","","","Federal","PAV","Campina Grande"
"104","PB","Eixo Principal","-","104BPB0230","ENTR PB-137 (JACÚ)","BARRA DE SANTA ROSA","30.4","44.7","14.3","PAV","","104BPB0230","Federal","","","","Federal","PAV","Campina Grande"
"104","PB","Eixo Principal","-","104BPB0240","BARRA DE SANTA ROSA","ENTR PB-079/105 (REMÍGIO)","44.7","88.2","43.5","PAV","","104BPB0240","Federal","","","","Federal","PAV","Campina Grande"
"104","PB","Eixo Principal","-","104BPB0250","ENTR PB-079/105 (REMÍGIO)","ESPERANÇA","88.2","97.7","9.5","PAV","","104BPB0250","Federal","","","","Federal","PAV","Campina Grande"
"104","PB","Eixo Principal","-","104BPB0270","ESPERANÇA","ENTR PB-097 (LAGOA SECA)","97.7","113.3","15.6","PAV","","104BPB0270","Federal","","","","Federal","PAV","Campina Grande"
"104","PB","Eixo Principal","-","104BPB0275","ENTR PB-097 (LAGOA SECA)","ACESSO CAMPINA GRANDE","113.3","120","6.7","PAV","","104BPB0275","Federal","","","","Federal","PAV","Campina Grande"
"104","PB","Eixo Principal","-","104BPB0280","ACESSO CAMPINA GRANDE","ENTR BR-230(A)/408 (CAMPINA GRANDE)","120","125.2","5.2","DUP","","104BPB0280","Federal","","","","Federal","PAV","Campina Grande"
"104","PB","Eixo Principal","-","104BPB0290","ENTR BR-230(A)/408 (CAMPINA GRANDE)","FIM DA DUPLICAÇÃO","125.2","128.1","2.9","PAV","EOD","104BPB0290;230BPB0220","Federal","","","","Federal","PAV","Campina Grande"
"104","PB","Eixo Principal","-","104BPB0295","FIM DA DUPLICAÇÃO","ENTR BR-230(B)","128.1","130.4","2.3","PAV","","104BPB0295;230BPB0225","Federal","","","","Federal","PAV","Campina Grande"
"104","PB","Eixo Principal","-","104BPB0300","ENTR BR-230(B)","ENTR PB-148 (QUEIMADAS)","130.4","140","9.6","PAV","","104BPB0300","Federal","","","","Federal","PAV","Campina Grande"
"104","PB","Eixo Principal","-","104BPB0310","ENTR PB-148 (QUEIMADAS)","ENTR PB-102 (P/AROEIRAS)","140","148.6","8.6","PAV","","104BPB0310","Federal","","","","Federal","PAV","Campina Grande"
"104","PB","Eixo Principal","-","104BPB0320","ENTR PB-102 (P/AROEIRAS)","ACESSO P/ BARRA DE SANTANA","148.6","163.2","14.6","PAV","","104BPB0320","Federal","","","","Federal","PAV","Campina Grande"
"104","PB","Eixo Principal","-","104BPB0322","ACESSO P/ BARRA DE SANTANA","ENTR PB-196 (P/RIACHO DE SANTO ANTÔNIO)","163.2","183","19.8","PAV","","104BPB0322","Federal","","","","Federal","PAV","Campina Grande"
"104","PB","Eixo Principal","-","104BPB0325","ENTR PB-196 (P/RIACHO DE SANTO ANTÔNIO)","DIV PB/PE","183","199.5","16.5","PAV","","104BPB0325","Federal","","","","Federal","PAV","Campina Grande"
"104","PE","Eixo Principal","-","104BPE0330","DIV PB/PE","ENTR PE-130 (P/TAQUARITINGA)","0","12","12","PAV","","104BPE0330","Federal","","","","Federal","PAV","Caruaru"
"104","PE","Eixo Principal","-","104BPE0350","ENTR PE-130 (P/TAQUARITINGA)","ENTR PE-160 (PÃO DE AÇÚCAR)","12","19.8","7.8","PAV","","104BPE0350","Federal","","","","Federal","PAV","Caruaru"
"104","PE","Eixo Principal","-","104BPE0370","ENTR PE-160 (PÃO DE AÇÚCAR)","ENTR PE-090","19.8","30.5","10.7","PAV","EOD","104BPE0370","Federal","","","","Federal","PAV","Caruaru"
"104","PE","Eixo Principal","-","104BPE0390","ENTR PE-090","INÍCIO PONTE S/ RIO CAPIBARIBE (TORITAMA)","30.5","31.1","0.6","PAV","EOD","104BPE0390","Federal","","","","Federal","PAV","Caruaru"
"104","PE","Eixo Principal","-","104BPE0410","INÍCIO PONTE S/ RIO CAPIBARIBE (TORITAMA)","ENTR PE-145 (P/FAZENDA NOVA)","31.1","43.4","12.3","PAV","EOD","104BPE0410","Federal","","","","Federal","PAV","Caruaru"
"104","PE","Eixo Principal","-","104BPE0430","ENTR PE-145 (P/FAZENDA NOVA)","ENTR PE-095 (P/RIACHO DAS ALMAS)","43.4","62.4","19","DUP","","104BPE0430","Federal","","","","Federal","PAV","Caruaru"
"104","PE","Eixo Principal","-","104BPE0440","ENTR PE-095 (P/RIACHO DAS ALMAS)","ENTR BR-232/423 (CARUARU)","62.4","68.1","5.7","DUP","","104BPE0440","Federal","","","","Federal","PAV","Caruaru"
"104","PE","Eixo Principal","-","104BPE0445","ENTR BR-232/423 (CARUARU)","ENTR ESTRADA P/ AGRESTINA","68.1","71.6","3.5","DUP","","104BPE0445","Federal","","","","Federal","PAV","Caruaru"
"104","PE","Eixo Principal","-","104BPE0450","ENTR ESTRADA P/ AGRESTINA","ENTR PE-149 (AGRESTINA)","71.6","85.8","14.2","PAV","","104BPE0450","Federal","","","","Federal","PAV","Caruaru"
"104","PE","Eixo Principal","-","104BPE0470","ENTR PE-149 (AGRESTINA)","ENTR PE-120 (BARRA DO RIACHÃO)","85.8","88.1","2.3","PAV","","104BPE0470","Federal","","","","Federal","PAV","Caruaru"
"104","PE","Eixo Principal","-","104BPE0490","ENTR PE-120 (BARRA DO RIACHÃO)","ENTR PE-123 (CUPIRA)","88.1","106.3","18.2","PAV","","104BPE0490","Federal","","","","Federal","PAV","Caruaru"
"104","PE","Eixo Principal","-","104BPE0510","ENTR PE-123 (CUPIRA)","ENTR PE-158","106.3","115.4","9.1","PAV","","104BPE0510","Federal","","","","Federal","PAV","Caruaru"
"104","PE","Eixo Principal","-","104BPE0520","ENTR PE-158","ENTR PE-126 (P/QUIPAPÁ)","115.4","134.4","19","PAV","","104BPE0520","Federal","","","","Federal","PAV","Caruaru"
"104","PE","Eixo Principal","-","104BPE0530","ENTR PE-126 (P/QUIPAPÁ)","ENTR PE-177 (P/GARANHUNS)","134.4","138.6","4.2","PAV","","104BPE0530","Federal","","","","Federal","PAV","Caruaru"
"104","PE","Eixo Principal","-","104BPE0550","ENTR PE-177 (P/GARANHUNS)","DIV PE/AL","138.6","146.9","8.3","PAV","","104BPE0550","Federal","","","","Federal","PAV","Caruaru"
"104","RN","Eixo Principal","-","104BRN0010","ENTR BR-406(A)/RN-118(A) (MACAU)","ENTR BR-406(B)","0","4","4","PAV","","104BRN0010;406BRN0010","Federal","","","","Federal","PAV","Macaíba"
"104","RN","Eixo Principal","-","104BRN0015","ENTR BR-406(B)","ENTR RN-118(A)","4","7.8","3.8","PLA","","104BRN0015","Federal","","","","Federal","PLA",""
"104","RN","Eixo Principal","-","104BRN0018","ENTR RN-118(A)","ENTR RN-118(B) (P/PENDÊNCIAS)","7.8","18.3","10.5","PLA","","104BRN0018","Estadual","","RN-118","PAV","Estadual","PLA",""
"104","RN","Eixo Principal","-","104BRN0020","ENTR RN-118(B) (P/PENDÊNCIAS)","ENTR BR-406","18.3","48.2","29.9","PLA","","104BRN0020","Federal","","","","Federal","PLA",""
"104","RN","Eixo Principal","-","104BRN0025","ENTR BR-406","ACESSO OESTE AFONSO BEZERRA","48.2","51.2","3","PLA","","104BRN0025","Estadual","","RN-263","PAV","Estadual","PLA",""
"104","RN","Eixo Principal","-","104BRN0030","ACESSO OESTE AFONSO BEZERRA","ACESSO LESTE AFONSO BEZERRA","51.2","54.4","3.2","PLA","","104BRN0030","Federal","","","","Federal","PLA",""
"104","RN","Eixo Principal","-","104BRN0035","ACESSO LESTE AFONSO BEZERRA","ENTR ACESSO OESTE PEDRO AVELINO","54.4","65.3","10.9","PLA","","104BRN0035","Estadual","","RN-263","PAV","Estadual","PLA",""
"104","RN","Eixo Principal","-","104BRN0040","ENTR ACESSO OESTE PEDRO AVELINO","ENTR ACESSO SUL PEDRO AVELINO","65.3","68.2","2.9","PLA","","104BRN0040","Federal","","","","Federal","PLA",""
"104","RN","Eixo Principal","-","104BRN0050","ENTR ACESSO SUL PEDRO AVELINO","ENTR BR-304(A)","68.2","87.7","19.5","PLA","","104BRN0050","Estadual","","RN-104","PAV","Estadual","PLA",""
"104","RN","Eixo Principal","-","104BRN0070","ENTR BR-304(A)","ENTR BR-304(B) (P/LAJES)","87.7","93.3","5.6","PAV","","104BRN0070;304BRN0250","Federal","","","","Federal","PAV","Macaíba"
"104","RN","Eixo Principal","-","104BRN0092","ENTR BR-304(B) (P/LAJES)","ENTR RN-042(A)","93.3","142.4","49.1","PLA","","104BRN0092","Federal","","","","Federal","PLA",""
"104","RN","Eixo Principal","-","104BRN0140","ENTR RN-042(A)","ENTR RN-042(B)","142.4","146.1","3.7","PLA","","104BRN0140","Estadual","","RN-042","PAV","Estadual","PLA",""
"104","RN","Eixo Principal","-","104BRN0143","ENTR RN-042(B)","ENTR RN-042(C)","146.1","147.8","1.7","PLA","","104BRN0143","Federal","","","","Federal","PLA",""
"104","RN","Eixo Principal","-","104BRN0145","ENTR RN-042(C)","ENTR RN-042(D)","147.8","148.6","0.8","PLA","","104BRN0145","Estadual","","RN-042","PAV","Estadual","PLA",""
"104","RN","Eixo Principal","-","104BRN0147","ENTR RN-042(D)","ENTR BR-226(A)","148.6","162.5","13.9","PLA","","104BRN0147","Federal","","","","Federal","PLA",""
"104","RN","Eixo Principal","-","104BRN0150","ENTR BR-226(A)","ENTR BR-226(B)","162.5","175.1","12.6","PAV","","104BRN0150;226BRN0175","Federal","","","","Federal","PAV","Currais Novos"
"104","RN","Eixo Principal","-","104BRN0168","ENTR BR-226(B)","ENTR RN-023(A)","175.1","202.8","27.7","PLA","","104BRN0168","Federal","","","","Federal","PLA",""
"104","RN","Eixo Principal","-","104BRN0172","ENTR RN-023(A)","ENTR RN-023(B)","202.8","204.1","1.3","PLA","","104BRN0172","Estadual","","RN-023","PAV","Estadual","PLA",""
"104","RN","Eixo Principal","-","104BRN0180","ENTR RN-023(B)","DIV RN/PB","204.1","207.1","3","PLA","","104BRN0180","Federal","","","","Federal","PLA",""
"104","PB","Contorno","-","104CPB1005","ENTR BR-104 (ACESSO SUL JAÇANÃ-DIV RN/PB)","ACESSO SUL NOVA FLORESTA/ACESSO NORTE CUITÉ","0","4.2","4.2","PLA","","104CPB1005","Federal","","","","Federal","PLA",""
"104","PB","Contorno","-","104CPB2005","ACESSO SUL NOVA FLORESTA/ACESSO NORTE CUITÉ","ENTR ESTRADA DO CAMPO COMPRIDO","0","11.2","11.2","PLA","","104CPB2005","Federal","","","","Federal","PLA",""
"104","PB","Contorno","-","104CPB2205","ACESSO NORTE BARRA DE STA ROSA","ACESSO SUL BARRA DE STA ROSA","0","5.3","5.3","PLA","","104CPB2205","Federal","","","","Federal","PLA",""
"104","PB","Contorno","-","104CPB2405","ACESSO NORTE REMÍGIO","ACESSO OESTE REMÍGIO","0","5.9","5.9","PLA","","104CPB2405","Federal","","","","Federal","PLA",""
"104","PB","Contorno","-","104CPB2605","ACESSO NORTE ESPERANÇA","ACESSO SUL ESPERANÇA","0","5.8","5.8","PLA","","104CPB2605","Federal","","","","Federal","PLA",""
"104","PB","Contorno","-","104CPB2805","ACESSO NORTE S.SEBASTIÃO LAGOA DE ROÇA","ACESSO SUL S.SEBASTIÃO LAGOA DE ROÇA","0","4.2","4.2","PLA","","104CPB2805","Federal","","","","Federal","PLA",""
"104","PB","Contorno","-","104CPB3005","ENTR BR-104/PB-097","ENTR BR-230 (ACESSO LESTE CAMPINA GRANDE)","0","15.6","15.6","PLA","","104CPB3005","Federal","","","","Federal","PLA",""
"104","PB","Contorno","-","104CPB4005","ACESSO SUL S.SEBASTIÃO LAGOA DE ROÇA","ENTR PB-115","0","15.1","15.1","PLA","","104CPB4005","Federal","","","","Federal","PLA",""
"104","PB","Contorno","-","104CPB4010","ENTR PB-115","ACESSO OESTE SÃO JOSÉ DA MATA","15.1","21.6","6.5","PLA","","104CPB4010","Federal","","","","Federal","PLA",""
"104","PB","Contorno","-","104CPB6005","ACESSO NORTE QUEIMADAS","ENTR PB-148","0","6.4","6.4","PLA","","104CPB6005","Federal","","","","Federal","PLA",""
"104","PB","Contorno","-","104CPB6010","ENTR PB-148","ACESSO SUL QUEIMADAS","6.4","10.8","4.4","PLA","","104CPB6010","Federal","","","","Federal","PLA",""
"104","PE","Contorno","-","104CPE1005","ACESSO OESTE TORITAMA","ACESSO SUL TORITAMA","0","5.1","5.1","PLA","","104CPE1005","Federal","","","","Federal","PLA",""
"110","AL","Eixo Principal","-","110BAL0530","DIV PE/AL (INÍCIO DA PONTE SOBRE O RIO MOXOTÓ)","FIM DA PONTE SOBRE O RIO MOXOTÓ","0","0.4","0.4","PAV","","110BAL0530","Federal","","","","Federal","PAV","Santana do Ipanema"
"110","AL","Eixo Principal","-","110BAL0535","FIM DA PONTE SOBRE O RIO MOXOTÓ","ENTR BR-423(A)","0.4","11.9","11.5","PAV","","110BAL0535","Federal","","","","Federal","PAV","Santana do Ipanema"
"110","AL","Eixo Principal","-","110BAL0540","ENTR BR-423(A)","INÍCIO DA PONTE SOBRE O RIO SÃO FRANCISCO(DIV AL/BA)","11.9","16.1","4.2","PAV","","110BAL0540;423BAL0255","Federal","","","","Federal","PAV","Santana do Ipanema"
"110","BA","Eixo Principal","-","110BBA0550","INÍCIO DA PONTE SOBRE O RIO SÃO FRANCISCO (DIV AL/BA)","FIM DA PONTE SOBRE O RIO SÃO FRANCISCO","0","0.3","0.3","PAV","","110BBA0550;423BBA0270","Federal","","","","Federal","PAV","Euclides da Cunha"
"110","BA","Eixo Principal","-","110BBA0560","FIM DA PONTE SOBRE O RIO SÃO FRANCISCO","ENTR BR-423(B)/BA-210 (PAULO AFONSO)","0.3","2.4","2.1","PAV","","110BBA0560;423BBA0280","Federal","","","","Federal","PAV","Euclides da Cunha"
"110","BA","Eixo Principal","-","110BBA0570","ENTR BR-423(B)/BA-210 (PAULO AFONSO)","ENTR BA-305 (P/SANTA BRÍGIDA)","2.4","37.7","35.3","PAV","","110BBA0570","Federal","","","","Federal","PAV","Euclides da Cunha"
"110","BA","Eixo Principal","-","110BBA0572","ENTR BA-305 (P/SANTA BRÍGIDA)","JEREMOABO","37.7","75.5","37.8","PAV","","110BBA0572","Federal","","","","Federal","PAV","Euclides da Cunha"
"110","BA","Eixo Principal","-","110BBA0590","JEREMOABO","ENTR BR-235","75.5","80.2","4.7","PAV","","110BBA0590","Federal","","","","Federal","PAV","Euclides da Cunha"
"110","BA","Eixo Principal","-","110BBA0610","ENTR BR-235","ENTR BA-392 (ANTAS)","80.2","113.8","33.6","PAV","","110BBA0610","Federal","","","","Federal","PAV","Euclides da Cunha"
"110","BA","Eixo Principal","-","110BBA0612","ENTR BA-392 (ANTAS)","ENTR BA-220 (CÍCERO DANTAS)","113.8","141.2","27.4","PAV","","110BBA0612","Federal","","","","Federal","PAV","Euclides da Cunha"
"110","BA","Eixo Principal","-","110BBA0630","ENTR BA-220 (CÍCERO DANTAS)","ENTR BA-393","141.2","144.6","3.4","PAV","","110BBA0630","Federal","","","","Federal","PAV","Euclides da Cunha"
"110","BA","Eixo Principal","-","110BBA0632","ENTR BA-393","ENTR BA-388 (P/CURRAL FALSO)","144.6","163.6","19","PAV","","110BBA0632","Federal","","","","Federal","PAV","Euclides da Cunha"
"110","BA","Eixo Principal","-","110BBA0641","ENTR BA-388 (P/CURRAL FALSO)","ENTR BR-410 (RIBEIRA DO POMBAL)","163.6","172.1","8.5","PAV","","110BBA0641","Federal","","","","Federal","PAV","Euclides da Cunha"
"110","BA","Eixo Principal","-","110BBA0650","ENTR BR-410 (RIBEIRA DO POMBAL)","ENTR BA-084(A) (CIPÓ)","172.1","202.3","30.2","PAV","","110BBA0650","Federal","","","","Federal","PAV","Cruz das Almas"
"110","BA","Eixo Principal","-","110BBA0670","ENTR BA-084(A) (CIPÓ)","ENTR BA-084(B) (NOVA SOURE)","202.3","221.3","19","PAV","","110BBA0670","Federal","","","","Federal","PAV","Cruz das Almas"
"110","BA","Eixo Principal","-","110BBA0672","ENTR BA-084(B) (NOVA SOURE)","ENTR BR-349 (OLINDINA)","221.3","241.6","20.3","PAV","","110BBA0672","Federal","","","","Federal","PAV","Cruz das Almas"
"110","BA","Eixo Principal","-","110BBA0690","ENTR BR-349 (OLINDINA)","ENTR BA-398 (P/CRISÓPOLIS)","241.6","249.6","8","PAV","","110BBA0690","Federal","","","","Federal","PAV","Cruz das Almas"
"110","BA","Eixo Principal","-","110BBA0710","ENTR BA-398 (P/CRISÓPOLIS)","ENTR BA-233(A) (P/ SÁTIRO DIAS)","249.6","279.7","30.1","PAV","","110BBA0710","Federal","","","","Federal","PAV","Cruz das Almas"
"110","BA","Eixo Principal","-","110BBA0712","ENTR BA-233(A) (P/ SÁTIRO DIAS)","ENTR BA-233(B) (P/ITAMIRA)","279.7","282.9","3.2","PAV","","110BBA0712","Federal","","","","Federal","PAV","Cruz das Almas"
"110","BA","Eixo Principal","-","110BBA0714","ENTR BA-233(B) (P/ITAMIRA)","INHAMBUPE","282.9","293.6","10.7","PAV","","110BBA0714","Federal","","","","Federal","PAV","Cruz das Almas"
"110","BA","Eixo Principal","-","110BBA0716","INHAMBUPE","ENTR BA-400","293.6","310.3","16.7","PAV","","110BBA0716","Federal","","","","Federal","PAV","Cruz das Almas"
"110","BA","Eixo Principal","-","110BBA0730","ENTR BA-400","ENTR BR-101(A)","310.3","328.4","18.1","PAV","","110BBA0730","Federal","","","","Federal","PAV","Cruz das Almas"
"110","BA","Eixo Principal","Coinc","110BBA0750","ENTR BR-101(A)","ENTR BA-504 (P/ARAÇAS)","328.4","338.5","10.1","PAV","EOD","101BBA1470;110BBA0750","Federal","","","","Federal","PAV","Cruz das Almas"
"110","BA","Eixo Principal","Coinc","110BBA0760","ENTR BA-504 (P/ARAÇAS)","ENTR BR-110(B)/BA-504 (P/ALAGOINHAS)","338.5","341.4","2.9","PAV","EOD","101BBA1471;110BBA0760","Federal","","","","Federal","PAV","Cruz das Almas"
"110","BA","Eixo Principal","-","110BBA0770","ENTR BR-101(B) (P/ALAGOINHAS)","ENTR BA-516 (P/BURACICA)","341.4","345.9","4.5","PAV","","110BBA0770","Federal","","","","Federal","PAV","Cruz das Almas"
"110","BA","Eixo Principal","-","110BBA0772","ENTR BA-516 (P/BURACICA)","CATÚ","345.9","368.7","22.8","PAV","","110BBA0772","Federal","","","","Federal","PAV","Cruz das Almas"
"110","BA","Eixo Principal","-","110BBA0774","CATÚ","ENTR BR-420(A)","368.7","372.1","3.4","PAV","","110BBA0774","Federal","","","","Federal","PAV","Cruz das Almas"
"110","BA","Eixo Principal","-","110BBA0790","ENTR BR-420(A)","P/CASSARONGONGO","372.1","384","11.9","PAV","","110BBA0790;420BBA0030","Federal","","","","Federal","PAV","Cruz das Almas"
"110","BA","Eixo Principal","-","110BBA0792","P/CASSARONGONGO","ENTR BA-512 (SÃO SEBASTIÃO DO PASSÉ)","384","394.9","10.9","PAV","","110BBA0792;420BBA0035","Federal","","","","Federal","PAV","Cruz das Almas"
"110","BA","Eixo Principal","-","110BBA0810","ENTR BA-512 (SÃO SEBASTIÃO DO PASSÉ)","ENTR BR-324/420(B)","394.9","404.6","9.7","PAV","","110BBA0810;420BBA0040","Federal","","","","Federal","PAV","Cruz das Almas"
"110","PB","Eixo Principal","-","110BPB0110","DIV RN/PB","ENTR PB-323(A) (BREJO DO CRUZ)","0","26","26","PLA","","110BPB0110","Federal","","","","Federal","PLA",""
"110","PB","Eixo Principal","-","110BPB0120","ENTR PB-323(A) (BREJO DO CRUZ)","ENTR PB-323(B)","26","29.6","3.6","PLA","","110BPB0120","Estadual","","PB-293","PAV","Estadual","PLA",""
"110","PB","Eixo Principal","-","110BPB0130","ENTR PB-323(B)","ENTR PB-293 (SÃO BENTO)","29.6","45.2","15.6","PLA","","110BPB0130","Estadual","","PB-293","PAV","Estadual","PLA",""
"110","PB","Eixo Principal","-","110BPB0135","ENTR PB-293 (SÃO BENTO)","DIV PB/RN","45.2","49.9","4.7","PLA","","110BPB0135","Estadual","","PB-110","LEN","Estadual","PLA",""
"110","PB","Eixo Principal","-","110BPB0190","DIV RN/PB","ENTR PB-275","49.9","66.4","16.5","PAV","","110BPB0190","Federal","","","","Federal","PAV","Patos"
"110","PB","Eixo Principal","-","110BPB0200","ENTR PB-275","ENTR BR-230(A) (SANTA GERTRUDES)","66.4","77.7","11.3","PAV","","110BPB0200","Federal","","","","Federal","PAV","Patos"
"110","PB","Eixo Principal","-","110BPB0208","ENTR BR-230(A) (SANTA GERTRUDES)","INÍCIO DUPLICAÇÃO","77.7","91.2","13.5","PAV","","110BPB0208;230BPB0340","Federal","","","","Federal","PAV","Patos"
"110","PB","Eixo Principal","-","110BPB0212","INÍCIO DUPLICAÇÃO","ACESSO PATOS","91.2","92","0.8","DUP","","110BPB0212;230BPB0335","Federal","","","","Federal","PAV","Patos"
"110","PB","Eixo Principal","-","110BPB0215","ACESSO PATOS","ENTR PB-275(A) (P/SÃO JOSÉ DE ESPINHARA)","92","95.6","3.6","PAV","","110BPB0215;230BPB0330","Federal","","","","Federal","PAV","Patos"
"110","PB","Eixo Principal","-","110BPB0220","ENTR PB-275(A) (P/SÃO JOSÉ DE ESPINHARA)","ENTR BR-230(B)/361/PB-228/275(B) (PATOS)","95.6","96.6","1","PAV","","110BPB0220;230BPB0325","Federal","","","","Federal","PAV","Patos"
"110","PB","Eixo Principal","-","110BPB0225","ENTR BR-230(B)/361/PB-228/275(B) (PATOS)","ENTR R.MANOEL MOTA (RIACHO DA CRUZ - PATOS)","96.6","99.2","2.6","PLA","","110BPB0225","Federal","","","","Federal","PLA",""
"110","PB","Eixo Principal","-","110BPB0230","ENTR R.MANOEL MOTA (RIACHO DA CRUZ - PATOS)","ENTR PB-276 (SÃO JOSÉ DO BONFIM)","99.2","114","14.8","PLA","","110BPB0230","Estadual","","PB-262","PAV","Estadual","PLA",""
"110","PB","Eixo Principal","-","110BPB0240","ENTR PB-276 (SÃO JOSÉ DO BONFIM)","TEIXEIRA","114","127.8","13.8","PLA","","110BPB0240","Estadual","","PB-262","PAV","Estadual","PLA",""
"110","PB","Eixo Principal","-","110BPB0250","TEIXEIRA","ENTR PB-238","127.8","129.6","1.8","PLA","","110BPB0250","Estadual","","PB-262","PAV","Estadual","PLA",""
"110","PB","Eixo Principal","-","110BPB0252","ENTR PB-238","ENTR PB-306","129.6","131.8","2.2","PLA","","110BPB0252","Estadual","","PB-262","PAV","Estadual","PLA",""
