"BR","UF ","Tipo de trecho","Desc Coinc","Código","Local de Início","Local de Fim","km inicial","km final","Extensão","Superfície Federal","Obras","Federal Coincidente","Administração","Ato legal","Estadual Coincidente","Superfície Est. Coincidente","Jurisdição","Superfície","Unidade Local"
"010","PA","Eixo Principal","-","010BPA0550","ENTR PA-256 (P/PARAGOMINAS)","ENTR PA-125","165.8","176.1","10.3","PAV","","010BPA0550","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0570","ENTR PA-125","ENTR PA-252 (MÃE DO RIO)","176.1","272","95.9","PAV","","010BPA0570","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0590","ENTR PA-252 (MÃE DO RIO)","ENTR PA-253(A) (P/SÃO DOMINGOS DO CAPIM)","272","299.6","27.6","PAV","","010BPA0590","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0610","ENTR PA-253(A) (P/SÃO DOMINGOS DO CAPIM)","ENTR PA-253(B) (P/IRITUIA)","299.6","307.4","7.8","PAV","","010BPA0610","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0630","ENTR PA-253(B) (P/IRITUIA)","ENTR PA-432 (P/VILA CONCEIÇÃO)","307.4","313.1","5.7","PAV","","010BPA0630","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0650","ENTR PA-432 (P/VILA CONCEIÇÃO)","ENTR PA-251/322 (SÃO MIGUEL DO GUAMA)","313.1","321.7","8.6","PAV","","010BPA0650","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0670","ENTR PA-251/322 (SÃO MIGUEL DO GUAMA)","SANTA MARIA DO PARÁ","321.7","353.7","32","PAV","","010BPA0670","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0690","SANTA MARIA DO PARÁ","ENTR BR-316(A)/308(A)","353.7","355","1.3","PAV","","010BPA0690","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0710","ENTR BR-316(A)/308(A)","ENTR PA-424 (P/COLÔNIA DO PRATA)","355","362.2","7.2","PAV","","010BPA0710;308BPA0140;316BPA0140","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0730","ENTR PA-424 (P/COLÔNIA DO PRATA)","ENTR PA-127(A) (P/IGARAPÉ AÇU)","362.2","371.7","9.5","PAV","","010BPA0730;308BPA0130;316BPA0130","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0750","ENTR PA-127(A) (P/IGARAPÉ AÇU)","ENTR PA-127(B) (BARRO BRANCO)","371.7","377.5","5.8","PAV","","010BPA0750;308BPA0120;316BPA0120","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0770","ENTR PA-127(B) (BARRO BRANCO)","INÍCIO PISTA DUPLA","377.5","389.9","12.4","PAV","","010BPA0770;308BPA0110;316BPA0110","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0780","INÍCIO PISTA DUPLA","ENTR PA-136/320 (CASTANHAL)","389.9","393.4","3.5","DUP","","010BPA0780;308BPA0105;316BPA0105","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0790","ENTR PA-136/320 (CASTANHAL)","ACESSO AMERICANO I","393.4","407","13.6","DUP","","010BPA0790;308BPA0100;316BPA0100","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0810","ACESSO AMERICANO I","ACESSO AMERICANO II","407","409.7","2.7","DUP","","010BPA0810;308BPA0090;316BPA0090","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0830","ACESSO AMERICANO II","ENTR PA-140 (SANTA IZABEL DO PARÁ)","409.7","421.4","11.7","DUP","","010BPA0830;308BPA0080;316BPA0080","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0850","ENTR PA-140 (SANTA IZABEL DO PARÁ)","ENTR PA-406 (CAJUEIRO)","421.4","431.6","10.2","DUP","","010BPA0850;308BPA0070;316BPA0070","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0870","ENTR PA-406 (CAJUEIRO)","ENTR PA-391 (P/BENEVIDES)","431.6","433.6","2","DUP","","010BPA0870;308BPA0060;316BPA0060","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0890","ENTR PA-391 (P/BENEVIDES)","ENTR PA-406 (CANUTAMA)","433.6","437.1","3.5","DUP","","010BPA0890;308BPA0050;316BPA0050","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0910","ENTR PA-406 (CANUTAMA)","ENTR PA-404 (P/BENFICA)","437.1","439.5","2.4","DUP","","010BPA0910;308BPA0040;316BPA0040","Federal","","","","Federal","PAV","Capanema"
"010","PA","Eixo Principal","-","010BPA0930","ENTR PA-404 (P/BENFICA)","ACESSO ALÇA VIÁRIA","439.5","447.9","8.4","DUP","","010BPA0930;308BPA0030;316BPA0030","Convênio Adm.Federal/Estadual","","","","Federal","PAV","Belém"
"010","PA","Eixo Principal","-","010BPA0940","ACESSO ALÇA VIÁRIA","DIV MUN BELÉM/ANANINDEUA (ALAM M BONITA)","447.9","455.8","7.9","DUP","","010BPA0940;308BPA0020;316BPA0020","Convênio Adm.Federal/Estadual","","","","Federal","PAV","Belém"
"010","PA","Eixo Principal","-","010BPA0970","DIV MUN BELÉM/ANANINDEUA (ALAM M BONITA)","ENTR BR-308(B)/316(B) (2º UNIT BELÉM)","455.8","457.5","1.7","DUP","","010BPA0970;308BPA0010;316BPA0010","Convênio Adm.Federal/Municipal","","","","Federal","PAV","Belém"
"010","TO","Eixo Principal","-","010BTO0185","DIV GO/TO (RIO B)EZERRA","ENTR. BR-242","0","95.1","95.1","PLA","","010BTO0185","Federal","","","","Federal","PLA",""
"010","TO","Eixo Principal","-","010BTO0187","ENTR. BR-242","ENTR BR-242(A)/TO-130/296/387(A) (PARANÃ)","95.1","115.7","20.6","PAV","","010BTO0187;242BTO0397","Federal","","","","Federal","PAV","Gurupi"
"010","TO","Eixo Principal","-","010BTO0190","ENTR BR-242(A)/TO-130/296/387(A) (PARANÃ)","ACESSO A PARANÃ","115.7","116.6","0.9","PAV","","010BTO0190;242BTO0400","Federal","","","","Federal","PAV","Gurupi"
"010","TO","Eixo Principal","-","010BTO0195","ACESSO A PARANÃ","FIM INTERSEÇÃO BR-010/BR-242 (SENTIDO PRÍNCIPE)","116.6","119.9","3.3","PAV","","010BTO0195;242BTO0405","Federal","","","","Federal","PAV","Gurupi"
"010","TO","Eixo Principal","-","010BTO0197","FIM INTERSEÇÃO BR-010/BR-242 (SENTIDO PRÍNCIPE)","FIM INTERSEÇÃO BR-010/BR-242 (SENTIDO GURUPI)","119.9","121","1.1","DUP","","010BTO0197;242BTO0410","Federal","","","","Federal","PAV","Gurupi"
"010","TO","Eixo Principal","-","010BTO0199","FIM INTERSEÇÃO BR-010/BR-242 (SENTIDO GURUPI)","ENTR BR-242(B)","121","121.6","0.6","DUP","","010BTO0199;242BTO0415","Federal","","","","Federal","PAV","Gurupi"
"010","TO","Eixo Principal","-","010BTO0200","ENTR BR-242(B)","FIM DA PAVIMENTAÇÃO","121.6","159.4","37.8","PAV","","010BTO0200","Federal","","","","Federal","PAV","Gurupi"
"010","TO","Eixo Principal","-","010BTO0205","FIM DA PAVIMENTAÇÃO","ENTR TO-387(B)","159.4","160.1","0.7","PAV","","010BTO0205","Federal","","","","Federal","PAV","Gurupi"
"010","TO","Eixo Principal","-","010BTO0210","ENTR TO-387(B)","INÍCIO DA PAVIMENTAÇÃO","160.1","166.5","6.4","IMP","","010BTO0210","Federal","","","","Federal","N_PAV","Gurupi"
"010","TO","Eixo Principal","-","010BTO0215","INÍCIO DA PAVIMENTAÇÃO","ENTR TO-050(A) (PRÍNCIPE)","166.5","206.2","39.7","PAV","","010BTO0215","Federal","","","","Federal","PAV","Gurupi"
"010","TO","Eixo Principal","-","010BTO0220","ENTR TO-050(A) (PRÍNCIPE)","BONFIM","206.2","219.1","12.9","PAV","","010BTO0220","Federal","","","","Federal","PAV","Gurupi"
"010","TO","Eixo Principal","-","010BTO0225","BONFIM","ENTR TO-280(A) (NATIVIDADE) (P/ S VALÉRIO DA NATIVIDADE)","219.1","241.4","22.3","PAV","","010BTO0225","Federal","","","","Federal","PAV","Gurupi"
"010","TO","Eixo Principal","-","010BTO0230","ENTR TO-280(A) (NATIVIDADE) (P/ S VALÉRIO DA NATIVIDADE)","ENTR TO-280(B) (NATIVIDADE) (P/ ALMAS)","241.4","244.4","3","PAV","","010BTO0230","Federal","","","","Federal","PAV","Gurupi"
"010","TO","Eixo Principal","-","010BTO0235","ENTR TO-280(B) (NATIVIDADE) (P/ ALMAS)","CHAPADA DA NATIVIDADE","244.4","253.1","8.7","PAV","","010BTO0235","Federal","","","","Federal","PAV","Gurupi"
"010","TO","Eixo Principal","-","010BTO0240","CHAPADA DA NATIVIDADE","ENTR TO-130(B)","253.1","263.1","10","PAV","","010BTO0240","Federal","","","","Federal","PAV","Gurupi"
"010","TO","Eixo Principal","-","010BTO0245","ENTR TO-130(B)","ENTR TO-373 (SANTA ROSA DO TOCANTINS)","263.1","304.7","41.6","PAV","","010BTO0245","Federal","","","","Federal","PAV","Gurupi"
"010","TO","Eixo Principal","-","010BTO0250","ENTR TO-373 (SANTA ROSA DO TOCANTINS)","ENTR TO-458 (P/IPUEIRAS)","304.7","313","8.3","PAV","","010BTO0250","Federal","","","","Federal","PAV","Gurupi"
"010","TO","Eixo Principal","-","010BTO0255","ENTR TO-458 (P/IPUEIRAS)","ENTR TO-262(A)","313","343.2","30.2","PAV","","010BTO0255","Federal","","","","Federal","PAV","Gurupi"
"010","TO","Eixo Principal","-","010BTO0260","ENTR TO-262(A)","ENTR TO-262(B)/365(A) (SILVANÓPOLIS)","343.2","346.6","3.4","PAV","","010BTO0260","Federal","","","","Federal","PAV","Gurupi"
"010","TO","Eixo Principal","-","010BTO0262","ENTR TO-262(B)/365(A) (SILVANÓPOLIS)","ENTR TO-365(B) (P/MONTE DO CARMO)","346.6","357.1","10.5","PLA","","010BTO0262","Estadual","","TO-050","PAV","Estadual","PLA",""
"010","TO","Eixo Principal","-","010BTO0264","ENTR TO-365(B) (P/MONTE DO CARMO)","ENTR TO-458","357.1","381.1","24","PLA","","010BTO0264","Estadual","","TO-050","PAV","Estadual","PLA",""
"010","TO","Eixo Principal","-","010BTO0268","ENTR TO-458","INÍCIO PISTA DUPLA PORTO NACIONAL","381.1","401","19.9","PLA","","010BTO0268","Estadual","","TO-050","PAV","Estadual","PLA",""
"010","TO","Eixo Principal","-","010BTO0270","INÍCIO PISTA DUPLA PORTO NACIONAL","ENTR TO-070(A)/255(A) (P/ BREJINHO DE NAZARÉ)","401","401.6","0.6","PLA","","010BTO0270","Estadual","","TO-050","DUP","Estadual","PLA",""
